red,green,blue,near_infrared,target
38-Cloud_training\train_red\red_patch_318_15_by_10_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_15_by_10_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_15_by_10_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_15_by_10_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_15_by_10_LC08_L1TP_063016_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_15_by_10_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_15_by_10_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_15_by_10_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_15_by_10_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_15_by_10_LC08_L1TP_064014_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_15_by_10_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_15_by_10_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_15_by_10_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_15_by_10_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_15_by_10_LC08_L1TP_064017_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_15_by_10_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_15_by_10_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_15_by_10_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_15_by_10_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_15_by_10_LC08_L1TP_066017_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_18_LC08_L1TP_002053_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_18_LC08_L1TP_002054_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_18_LC08_L1TP_035034_20160120_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_18_LC08_L1TP_039034_20160320_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_3_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_3_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_3_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_3_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_3_LC08_L1TP_011247_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_3_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_3_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_3_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_3_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_3_LC08_L1TP_029040_20160720_20170222_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_3_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_3_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_3_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_3_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_3_LC08_L1TP_032029_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_3_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_3_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_3_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_3_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_3_LC08_L1TP_034034_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_3_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_3_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_3_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_3_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_3_LC08_L1TP_045026_20160720_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_318_16_by_3_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_318_16_by_3_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_318_16_by_3_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_318_16_by_3_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_318_16_by_3_LC08_L1TP_047023_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_14_by_20_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_14_by_20_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_14_by_20_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_14_by_20_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_14_by_20_LC08_L1TP_044010_20160220_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_14_by_20_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_14_by_20_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_14_by_20_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_14_by_20_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_14_by_20_LC08_L1TP_059014_20160620_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_14_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_14_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_14_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_14_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_14_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_15_by_11_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_15_by_11_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_15_by_11_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_15_by_11_LC08_L1TP_061017_20160720_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_15_by_11_LC08_L1TP_061017_20160720_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_15_by_11_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_15_by_11_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_15_by_11_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_15_by_11_LC08_L1TP_063016_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_15_by_11_LC08_L1TP_063016_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_15_by_11_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_15_by_11_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_15_by_11_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_15_by_11_LC08_L1TP_064014_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_15_by_11_LC08_L1TP_064014_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_15_by_11_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_15_by_11_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_15_by_11_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_15_by_11_LC08_L1TP_064017_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_15_by_11_LC08_L1TP_064017_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_15_by_11_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_15_by_11_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_15_by_11_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_15_by_11_LC08_L1TP_066017_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_15_by_11_LC08_L1TP_066017_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_19_LC08_L1TP_002053_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_19_LC08_L1TP_002054_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_19_LC08_L1TP_035034_20160120_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_19_LC08_L1TP_039034_20160320_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_4_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_4_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_4_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_4_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_4_LC08_L1TP_011247_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_4_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_4_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_4_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_4_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_4_LC08_L1TP_029040_20160720_20170222_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_4_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_4_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_4_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_4_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_4_LC08_L1TP_032029_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_4_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_4_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_4_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_4_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_4_LC08_L1TP_034034_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_4_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_4_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_4_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_4_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_4_LC08_L1TP_045026_20160720_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_319_16_by_4_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_319_16_by_4_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_319_16_by_4_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_319_16_by_4_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_319_16_by_4_LC08_L1TP_047023_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_10_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_10_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_10_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_10_LC08_L1TP_011247_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_10_LC08_L1TP_011247_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_10_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_10_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_10_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_10_LC08_L1TP_029040_20160720_20170222_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_10_LC08_L1TP_029040_20160720_20170222_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_10_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_10_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_10_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_10_LC08_L1TP_032029_20160420_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_10_LC08_L1TP_032029_20160420_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_10_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_10_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_10_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_10_LC08_L1TP_034034_20160520_20170223_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_10_LC08_L1TP_034034_20160520_20170223_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_10_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_10_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_10_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_10_LC08_L1TP_045026_20160720_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_10_LC08_L1TP_045026_20160720_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_10_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_10_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_10_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_10_LC08_L1TP_047023_20160920_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_10_LC08_L1TP_047023_20160920_20170221_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_11_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_11_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_11_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_11_LC08_L1TP_002053_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_11_LC08_L1TP_002053_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_11_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_11_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_11_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_11_LC08_L1TP_002054_20160520_20170324_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_11_LC08_L1TP_002054_20160520_20170324_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_11_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_11_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_11_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_11_LC08_L1TP_035034_20160120_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_11_LC08_L1TP_035034_20160120_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_11_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_11_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_11_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_11_LC08_L1TP_039034_20160320_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_11_LC08_L1TP_039034_20160320_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_7_LC08_L1TP_011002_20160620_20170323_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_8_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_8_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_8_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_8_LC08_L1TP_044010_20160220_20170224_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_8_LC08_L1TP_044010_20160220_20170224_01_T1.TIF
38-Cloud_training\train_red\red_patch_31_2_by_8_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_green\green_patch_31_2_by_8_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_blue\blue_patch_31_2_by_8_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_nir\nir_patch_31_2_by_8_LC08_L1TP_059014_20160620_20170221_01_T1.TIF,38-Cloud_training\train_gt\gt_patch_31_2_by_8_LC08_L1TP_059014_20160620_20170221_01_T1.TIF
